                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0786,                0.86062,                 1.3637,                0.76267,                0.89491,                0.85534,                0.51429,                 1.2737,                0.85182,                 1.5668,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.0509,                0.85563,                 1.3451,                0.80758,                0.85595,                0.87159,                0.50892,                 1.3171,                 0.8575,                   1.59,              0.0006603,              0.0006603,              0.0006603
                     63,                  1.078,                0.85353,                 1.3589,                0.81967,                0.88766,                 0.8935,                0.53703,                 1.3453,                0.83587,                 1.6299,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.0438,                0.84525,                  1.344,                0.74557,                0.85785,                0.87838,                0.53927,                 1.2391,                0.86593,                 1.5212,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.0501,                0.83315,                 1.3404,                0.81486,                0.86074,                0.90244,                0.56032,                 1.2462,                0.85303,                  1.551,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.0268,                 0.8294,                 1.3325,                0.82468,                0.84763,                0.88909,                0.55894,                  1.285,                0.86256,                 1.5699,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.0404,                0.79843,                  1.332,                0.80808,                0.88728,                0.89581,                0.56262,                 1.3088,                0.86766,                 1.5872,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.0082,                0.80378,                 1.3159,                0.80812,                0.85816,                0.88928,                0.55723,                 1.3048,                0.80509,                 1.6092,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.0026,                0.78617,                  1.311,                0.82025,                0.89575,                0.90534,                0.55599,                 1.2816,                0.85543,                 1.5818,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.0071,                0.78451,                 1.3395,                0.80156,                0.89805,                0.90066,                0.56318,                 1.2604,                0.86549,                 1.5441,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.0292,                0.82253,                 1.3244,                0.82365,                0.81199,                0.88238,                0.53864,                 1.2882,                0.85041,                 1.5685,             0.00051177,             0.00051177,             0.00051177
                     72,                0.99918,                 0.7937,                 1.3145,                0.78215,                0.92389,                0.90492,                0.56288,                 1.3044,                0.87461,                 1.6027,             0.00049527,             0.00049527,             0.00049527
                     73,                0.98792,                0.75973,                 1.3035,                0.77739,                0.89491,                0.87304,                0.54733,                 1.2873,                0.85048,                 1.5695,             0.00047876,             0.00047876,             0.00047876
                     74,                0.97859,                0.78083,                 1.2988,                0.80413,                0.88921,                0.89962,                0.55494,                 1.2956,                0.86222,                 1.5808,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0048,                0.77793,                 1.3174,                0.79377,                0.88691,                 0.8974,                0.54022,                 1.3086,                0.86169,                 1.6039,             0.00044576,             0.00044576,             0.00044576
                     76,                 0.9924,                 0.7714,                 1.3116,                0.80868,                0.91426,                0.90924,                0.54863,                 1.3295,                0.82756,                 1.6136,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.0013,                0.74616,                 1.3117,                0.84682,                 0.8846,                0.91075,                0.54437,                 1.3397,                0.83539,                 1.6093,             0.00041275,             0.00041275,             0.00041275
                     78,                0.98413,                0.75629,                 1.3064,                0.80446,                0.87621,                0.89828,                0.54698,                 1.3273,                0.86904,                 1.5902,             0.00039625,             0.00039625,             0.00039625
                     79,                0.97305,                0.76001,                 1.3054,                0.84527,                0.86847,                0.90125,                0.55857,                 1.3028,                0.85168,                 1.5706,             0.00037974,             0.00037974,             0.00037974
                     80,                0.96157,                0.76494,                 1.2906,                0.79683,                0.86791,                0.90232,                0.55251,                 1.2806,                0.87562,                 1.5773,             0.00036324,             0.00036324,             0.00036324
                     81,                0.97836,                0.74875,                 1.2883,                0.82376,                0.90805,                0.90823,                0.55596,                 1.2743,                0.78648,                 1.5629,             0.00034674,             0.00034674,             0.00034674
                     82,                0.96598,                0.72217,                 1.2805,                0.79771,                0.94263,                0.91019,                0.56071,                 1.3101,                0.79348,                 1.5905,             0.00033023,             0.00033023,             0.00033023
                     83,                0.95637,                0.72351,                 1.2692,                0.83848,                0.88976,                0.90202,                0.56512,                 1.2859,                0.79982,                 1.5775,             0.00031373,             0.00031373,             0.00031373
                     84,                0.93623,                0.71287,                 1.2791,                0.84987,                0.86465,                0.91226,                0.56577,                 1.2934,                0.78394,                  1.586,             0.00029723,             0.00029723,             0.00029723
                     85,                0.93956,                0.70028,                 1.2738,                0.85557,                0.87687,                 0.9228,                0.57352,                 1.3042,                0.79806,                 1.6018,             0.00028072,             0.00028072,             0.00028072
                     86,                0.94735,                0.69598,                 1.2795,                0.84587,                0.88976,                0.92245,                0.57312,                 1.3091,                0.76247,                 1.5998,             0.00026422,             0.00026422,             0.00026422
                     87,                 0.9284,                0.69796,                  1.256,                0.86212,                0.87191,                 0.9235,                0.57248,                 1.3157,                0.75818,                 1.5871,             0.00024772,             0.00024772,             0.00024772
